language,task,item_id,manualApproved,needsReview,reason,approvalUpdatedAt,reviewUpdatedAt,updatedYesterday,approvedToday,needsReviewToday,scoreSource,score
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-013,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-014,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-015,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-016,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-017,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-018,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-019,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-020,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-023,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-022,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-021,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-024,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-026,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-025,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-027,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-028,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-029,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-030,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-031,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-033,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-032,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-034,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-035,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-036,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-037,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-038,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-039,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-041,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-043,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-042,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-040,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-044,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-045,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-046,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-047,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-048,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-050,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-049,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-051,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-052,false,true,confirm due to addition of new distractor (dog harness),,,false,false,false,ai,0.1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-053,false,true,double check per image,,,false,false,false,ai,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-054,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-055,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-056,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-057,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-059,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-058,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-060,false,true,CO recently changed this to el lavamanos.,,,false,false,false,ai,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-062,false,true,confirm per image (vs. oso perezoso),,,false,false,false,ai,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-061,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-063,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-064,false,true,confirm - ice cream vs. sorbet,,,false,false,false,ai,0.2
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-066,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-065,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-067,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-068,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-069,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-070,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-071,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-072,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-073,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-074,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-075,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-076,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-077,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-078,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-079,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-080,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-081,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-082,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-083,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-084,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-085,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-086,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-087,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-088,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-089,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-090,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-091,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-092,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-093,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-094,false,true,"discuss ""smoothie"" (fruit) vs. milkshake (ice cream)",,,false,false,false,ai,0.2
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-095,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-096,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-097,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-098,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-099,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-101,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-100,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-102,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-103,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-104,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-105,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-106,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-107,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-108,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-109,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-111,false,true,goteo vs. goteando,,,false,false,false,ai,0.5
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-110,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-113,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-112,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-114,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-115,false,true,el saca clavos - also maybe removing this item from all corpora,,,false,false,false,ai,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-117,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-116,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-118,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-119,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-121,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-120,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-122,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-125,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-124,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-123,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-126,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-128,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-127,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-129,false,true,this should refer to a confectionary shop rather than the sweets themselves (CO la confitería),,,false,false,false,ai,0.3
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-130,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-132,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-133,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-131,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-134,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-136,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-137,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-135,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-138,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-139,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-141,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-140,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-142,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-143,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-145,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-144,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-146,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-148,false,true,"this is updated for CO to conservar so want to confirm best word for ""preserves"" (see picture)",,,false,false,false,ai,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-149,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-147,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-150,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-151,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-152,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-153,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-154,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-155,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-157,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-156,false,true,just want to confirm based on image and difficulty level,,,false,false,false,ai,0
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-158,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-159,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-160,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-161,false,true,"Discuss because of the removal and vs. item 171 in CO - which to retain for AR (same images, different target response)",,,false,false,false,ai,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-162,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-163,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-164,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-165,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-166,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-167,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-168,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-169,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-170,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-instruct-1,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-practice-1,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-instruct-3,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-171,false,true,"Discuss because of the removal and vs. item 171 in CO - which to retain for AR (same images, different target response)",,,false,false,false,ai,0.4
es-ar,hearts-and-flowers,main/itembank_by_task/hearts-and-flowers.xliff::heart-instruct1,true,false,,,,false,false,false,manual,1
es-ar,hearts-and-flowers,main/itembank_by_task/hearts-and-flowers.xliff::heart-instruct2,true,false,,,,false,false,false,manual,1
es-ar,hearts-and-flowers,main/itembank_by_task/hearts-and-flowers.xliff::hearts-and-flowers-try-again,true,false,,,,false,false,false,manual,1
es-ar,hearts-and-flowers,main/itembank_by_task/hearts-and-flowers.xliff::heart-practice-feedback1,true,false,,,,false,false,false,manual,1
es-ar,hearts-and-flowers,main/itembank_by_task/hearts-and-flowers.xliff::hearts-and-flowers-practice-time,true,false,,,,false,false,false,manual,1
es-ar,hearts-and-flowers,main/itembank_by_task/hearts-and-flowers.xliff::heart-practice-feedback2,true,false,,,,false,false,false,manual,1
es-ar,hearts-and-flowers,main/itembank_by_task/hearts-and-flowers.xliff::hearts-and-flowers-instruct1,true,false,,,,false,false,false,manual,1
es-ar,hearts-and-flowers,main/itembank_by_task/hearts-and-flowers.xliff::hearts-and-flowers-instruct2,true,false,,,,false,false,false,manual,1
es-ar,hearts-and-flowers,main/itembank_by_task/hearts-and-flowers.xliff::hearts-and-flowers-play-time,true,false,,,,false,false,false,manual,1
es-ar,hearts-and-flowers,main/itembank_by_task/hearts-and-flowers.xliff::flower-instruct1,true,false,,,,false,false,false,manual,1
es-ar,hearts-and-flowers,main/itembank_by_task/hearts-and-flowers.xliff::flower-instruct2,true,false,,,,false,false,false,manual,1
es-ar,hearts-and-flowers,main/itembank_by_task/hearts-and-flowers.xliff::flower-practice-feedback1,true,false,,,,false,false,false,manual,1
es-ar,hearts-and-flowers,main/itembank_by_task/hearts-and-flowers.xliff::flower-practice-feedback2,true,false,,,,false,false,false,manual,1
es-ar,hearts-and-flowers,main/itembank_by_task/hearts-and-flowers.xliff::hearts-and-flowers-instruct3,true,false,,,,false,false,false,manual,1
es-ar,hearts-and-flowers,main/itembank_by_task/hearts-and-flowers.xliff::hearts-and-flowers-encourage1,true,false,,,,false,false,false,manual,1
es-ar,hearts-and-flowers,main/itembank_by_task/hearts-and-flowers.xliff::hearts-and-flowers-encourage2,true,false,,,,false,false,false,manual,1
es-ar,hearts-and-flowers,main/itembank_by_task/hearts-and-flowers.xliff::hearts-and-flowers-end,true,false,,,,false,false,false,manual,1
es-ar,memory-game,main/itembank_by_task/memory-game.xliff::memory-game-display,true,false,,,,false,false,false,manual,1
es-ar,memory-game,main/itembank_by_task/memory-game.xliff::memory-game-input,true,false,,,,false,false,false,manual,1
es-ar,memory-game,main/itembank_by_task/memory-game.xliff::memory-game-instruct1,true,false,,,,false,false,false,manual,1
es-ar,memory-game,main/itembank_by_task/memory-game.xliff::memory-game-instruct2,true,false,,,,false,false,false,manual,1
es-ar,memory-game,main/itembank_by_task/memory-game.xliff::memory-game-instruct3,true,false,,,,false,false,false,manual,1
es-ar,memory-game,main/itembank_by_task/memory-game.xliff::memory-game-instruct4,true,false,,,,false,false,false,manual,1
es-ar,memory-game,main/itembank_by_task/memory-game.xliff::memory-game-forward-prompt,true,false,,,,false,false,false,manual,1
es-ar,memory-game,main/itembank_by_task/memory-game.xliff::memory-game-forward-try-again,true,false,,,,false,false,false,manual,1
es-ar,memory-game,main/itembank_by_task/memory-game.xliff::memory-game-instruct5,true,false,,,,false,false,false,manual,1
es-ar,memory-game,main/itembank_by_task/memory-game.xliff::memory-game-instruct6,true,false,,2026-06-10T17:26:34.629Z,2026-06-10T17:26:24.749Z,true,false,false,manual,1
es-ar,memory-game,main/itembank_by_task/memory-game.xliff::memory-game-instruct7,true,false,,,,false,false,false,manual,1
es-ar,memory-game,main/itembank_by_task/memory-game.xliff::memory-game-backward-prompt,true,false,,,,false,false,false,manual,1
es-ar,memory-game,main/itembank_by_task/memory-game.xliff::memory-game-backward-try-again,true,false,,,,false,false,false,manual,1
es-ar,same-and-different,main/itembank_by_task/same-and-different.xliff::same-different-selection-touch-circle,true,false,,2026-06-09T21:39:19.261Z,,false,false,false,manual,1
es-ar,same-and-different,main/itembank_by_task/same-and-different.xliff::same-different-selection-touch-square,true,false,,2026-06-09T21:39:23.144Z,,false,false,false,manual,1
es-ar,same-and-different,main/itembank_by_task/same-and-different.xliff::same-different-selection-touch-triangle,true,false,,2026-06-09T21:39:25.197Z,,false,false,false,manual,1
es-ar,same-and-different,main/itembank_by_task/same-and-different.xliff::same-different-selection-touch-star,true,false,,2026-06-09T21:39:27.247Z,,false,false,false,manual,1
es-ar,same-and-different,main/itembank_by_task/same-and-different.xliff::same-different-selection-touch-green,true,false,,2026-06-09T21:39:28.697Z,,false,false,false,manual,1
es-ar,same-and-different,main/itembank_by_task/same-and-different.xliff::same-different-selection-touch-red,true,false,,2026-06-09T21:39:30.883Z,,false,false,false,manual,1
es-ar,same-and-different,main/itembank_by_task/same-and-different.xliff::same-different-selection-touch-blue,true,false,,2026-06-09T21:39:46.847Z,,false,false,false,manual,1
